CAMERA,FIRMWARE,BETA_STATUS,SOURCE_FIRMWARE,SKIP_AUTOBUILD
m3,101a,PREALPHA,,SKIP_AUTOBUILD
g7x,100d,PREALPHA,,SKIP_AUTOBUILD
ixus160_elph160,100a,ALPHA,,SKIP_AUTOBUILD
sx280hs,102b,PREALPHA,,SKIP_AUTOBUILD
sx280hs,102c,PREALPHA,,SKIP_AUTOBUILD
sx275hs,102b,PREALPHA,,SKIP_AUTOBUILD
sx275hs,102c,PREALPHA,,SKIP_AUTOBUILD
sx270hs,102b,PREALPHA,,SKIP_AUTOBUILD
sx270hs,102c,PREALPHA,,SKIP_AUTOBUILD 
